10:11:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:12:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:12:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:12:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:13:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:13:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:14:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:14:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:15:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:15:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:15:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:16:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:16:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:17:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:17:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:18:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:18:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:18:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:19:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:19:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:20:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:20:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:20:56, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:21:21, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:21:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:22:11, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:22:36, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:23:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:23:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:23:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:24:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:24:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:25:07, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:25:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:25:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:26:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:26:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:27:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:27:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:28:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:28:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:28:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:29:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:29:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:30:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:30:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:30:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:31:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:31:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:32:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:32:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:33:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:33:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:33:54, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:34:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:34:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:35:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:35:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:35:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:36:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:36:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:37:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:37:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:38:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:38:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:38:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:39:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:39:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:40:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:40:36, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:41:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:41:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:41:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:42:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:42:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:43:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:43:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:43:56, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:44:21, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:44:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:45:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:45:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:46:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:46:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:46:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:47:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:47:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:48:07, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:48:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:48:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:49:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:49:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:50:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:50:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:51:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:51:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:51:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:52:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:52:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:53:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:53:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:53:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:54:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:54:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:55:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:55:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:56:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:56:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:56:54, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:57:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:57:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:58:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:58:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
